Gene	1-NX-7-D3	2-JYP-5-D3	2-JYP-7-D3	2-JYP-8-D3	3-zhang-1-D3	4-zhou-2-D3	1-NX-2-D3	3-zhang-7-D3	4-zhou-1-D3	5-li-4-D3	6-zhang-2-D3	7-di-3-D3	8-liu-10-D3	4-zhou-8-D3	5-li-6-D3	5-li-13-D3	6-zhang-6-D3	8-liu-15-D3	9-shi-2-D3	11-yao-2-D3	12-wen-13-D3	13-jin-3-D3	13-jin-7-D3	2-JYP-9-D3	4-zhou-9-D3	6-z-12-D3	7-di-7-D3	8-liu-9-D3	1-NX-4-D3	3-zhang-6-D3	12-wen-6-D3	5-li-1-D3	17-chen-3-D3	14-zhang-5-D3	15-zhou-11-D3	18-xu-11-D3	19-lu-10-D3	20-li-5-D3	20-li-11-D3	21-lu-11-D3	22-wang-4-D3	22-wang-8-D3	24-liu-7-D3	9-shi-10-D3	11-yao-1-D3	13-jin-8-D3	14-zhang-2-D3	15-zhou-3-D3	18-xu-10-D3	22-wang-9-D3	26-qi-8-D3	28-sun-4-D3	29-li-5-D3	16-zheng-7-D3	19-lu-6-D3	21-lu-10-D3	23-cai-8-D3	24-liu-5-D3	25-qin-2-D3	26-qi-6-D3	26-qi-7-D3	28-sun-3-D3	29-li-8-D3	30-xiang-6-D3	30-xiang-7-D3	30-xiang-8-D3	32-wang-7-D3	35-xie-7-D3	35-xie-4-D3	36-qi-1-D3	38-dong-14-D3	41-zhou-8-D3	43-feng-10-D3	35-xie-9-D3	36-qi-7-D3	36-qi-8-D3	36-qi-18-D3	37-liao-2-D3	38-dong-10-D3	38-dong-13-D3	40-lin-12-D3	40-lin-15-D3	41-zhou-1-D3	27-lin-7-D3	30-xiang-11-D3	31-wu-6-D3	32-wang-1-D3	37-liao-5-D3	46-li-3-D3	49-xu-2-D3	58-chen-6-D3	20-li-8-D3	44-huang-4-D3	42-xu-7-D3	42-xu-17-D3	43-feng-13-D3	46-li-5-D3	48-shen-5-D3	48-shen-8-D3	48-shen-9-D3	49-xu-9-D3	51-gao-3-D3	51-gao-6-D3	39-wu-8-D3	40-lin-9-D3	42-xu-16-D3	45-cheng-1-D3	47-nian-7-D3	50-lai-9-D3	51-gao-5-D3	53-lang-6-D3	54-li-3-D3	55-xu-8-D3	52-wu-6-D3	52-wu-11-D3	53-lang-16-D3	58-chen-7-D3	57-zhao-2-D3	59-meng-3-D3
ENSG00000272335	0	0	0	0.14	0	0	0	7.14	44.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69	0	0	0	0	0	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	1.42	0	23.88	0	2.55	24.35	0.63	0	1.98	0	4.07	0	0	0.59	0	16.37	0	0	0	0	0	0	0	0	0	0	0	19.51	0	0	0	0	0	0	0	0	0	0	0	0	0	30.23	0	3.68	0.16	0	79.61	68.3	13.37	0	6.59	2.31	0	0	12.6	14.15	1.23	6.36	4.23	0	0	12.58	7.55	6.8	8.06	4.08	11.44	0	0	0	28.39	0	0	1.89	0
ENSG00000272554	24.08	0	0	21.55	0	26.8	6.89	33.45	17.67	11.86	0	6.68	0	0	18.95	23.4	0	0	0	0	39.91	3.88	9.12	0	0	0	302.05	136.98	119.79	146.21	345.62	80.42	13.69	0	0	7.08	60	13.58	0	4.79	40.67	29	0	0	80.21	0	49.16	0	39.89	47.39	162.14	47.17	75.08	45.67	17.66	0	12.6	8.52	103.56	0	0	0	58.39	60.56	0	0	0	25.61	0	0	29.5	0	21.01	0	0	0	0	0	0	0	0	0	0	0	37.79	58.14	30.39	110.03	0	54.03	6.88	71.95	197.83	35.19	54.84	0	173.42	0	145.53	23.6	42.51	0	0	49.88	61.69	74.4	34.64	40.61	0	46.89	0	47.26	0	0	0	0	0	0	0
ENSG00000272970	0	0	43.97	0	0	0	205.02	0	0	0	438.73	0	0	0	8.2	0	0	0	0	0	40.4	46.04	0	706.2	0	3331.6	0	0	0	0	0	0	77.37	40.41	0	33.18	0	0	0	0	0	0	13.85	1.5	0	0	15.54	0	6.37	0	0	0	180.09	6.21	0	0	11.4	105.36	0	0	126.49	11.7	32.89	0	0	0	0	0	0	1264.03	0	0	0	0	0	434.33	151.7	0	0	0	0	521.72	0	294.96	81.67	267.7	0	0	1.94	89.99	0	0	0	0	13.62	0	0	0	0	0	20.06	0	0	56.7	116.29	124.58	410.28	31.65	16.3	0	13.7	5.75	0	118.65	65.6	27.13	0	97.17	103.03
ENSG00000273080	103.47	0	0	0	0	0	0	0	0	0	169.15	0	0	0	0	0	0	0	0	0	0	0	0	0	15.02	0	0	0	0	0	91.41	0	20.75	0	0	0	0	0	0	0	0	0	9.9	58.81	170.17	0	17.13	0	0	0	8.82	31.38	4.05	31.51	30.23	0	0	38.02	1.88	158.43	5.98	0	8.24	107.55	0	0	0	0	232.27	0	0	522.96	0	0	0	0	3.19	0	0	31.9	0	28.13	0	0	0	0	0	0	0	51.38	0	31.56	0	0	0	0	0	0	0	0	0	3.8	0	0	0	0	31.23	0	10.6	56.53	0.72	9.22	45.57	0	8.89	0	0	0	10.79
ENSG00000273711	0	0	0	0	0	0	0	0	0	0	12.36	0	0	0	0	0	0	0	0	0	0	227.28	4.85	0	0	0	0	0	0	0	0	0	30.06	9.63	137.32	0	0	0	0	0	3.73	0	0	11.11	0	0	0	15.79	0	1.32	0	0	0	0	47.62	0	0	0	1.12	0	0	0	0	0	0	0	0	0	0	0	0	63.19	0	0	0	0	0	0	0	25.19	0	0	0	0	69.07	0	0	0	0	6.46	0	0	3.51	0	0	0	0	0	0	0	0	0	0	15.04	0	66.84	3.88	18.44	0	0	0	0	69.48	0	0	0	0	12.04	8.13
ENSG00000280356	1.68	0	0	1.16	2	0.55	0	0.77	0	0	0	0	0	3.35	0	0	0	0	0	0	0	0	0	0	2.31	0	0.84	2.18	4.08	0	0.78	3.04	1.16	2.55	0	0	0	0	0	0	0	0	0	2	0	0	2.63	0	0	0.67	0	2.57	1.34	0.68	3.08	0	1.08	0	0	0	0	0	0	0	0	3.77	0	0	0	0	0	0	0	0	0	0	0	0	0	71.7	0	0	0	0	0	0	0.81	0.54	0	0	1.21	0.66	3.72	0	0	0	0	0	0	0	0	0	0	0	0.85	0	30.37	0	0	0	0	0	0	0	0	0	0	0	3.2
ENSG00000283674	0	0	25.03	9.11	0.67	73.14	9.35	15.93	0	4.66	30.44	54.59	33.33	81.06	23.09	35.75	0	0	20.93	44.91	18.15	35.51	7.52	0	2.69	58.35	23.26	42.38	80.44	19.83	43.41	29.08	47.8	25.59	10.35	1.45	18.65	158.94	6.79	1.08	10.37	0	4.89	5.58	2.19	1.77	61.12	17.52	110.98	23.44	0	18.05	22.57	0	0	2.32	13.11	1.6	9.85	282.09	35.98	0	0	13.82	0	0	0	7.55	77.48	0	6.4	3.95	0	0	52.68	0	21.79	0	3.2	0	25.81	47.67	0	0	0	0.2	53	27.35	60.07	13.03	5.4	6.02	23.43	0	0	4.25	2.95	1.53	0	0	0	0	0.78	8.1	8.91	147.01	3.55	21.55	0	0	0	1.06	23.91	8.16	55.11	44.11	6.62	7.08	0
ENSG00000284188	0	0	0	0	0	0	18.56	0	8.25	0	19.18	12.54	14.2	23.15	0	0	0	0	25.14	0	0	2.07	0	0	0	14.11	0.34	8.9	10.81	23.86	19.07	0	0	4.59	0	0	0	0	2.62	0	0	6.12	0	0	11.29	0	19.32	23.03	66.14	0	0	2.67	0	0	0	1.42	16.49	0	0	0	0	0	0	0	0	0	22.91	0	0	0	0	25.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.85	0	9.2	0	0	0	0	11.06	0	15.28	10.24	0	0	0	0	0	30.6	2.19	17.47	0.31	0	0	0	0	4.71	0	0	0	0	0	0	0	0
ENSG00000285572	0	0	0	0	0	0	0	3.17	0	0.25	0	0	0	0	0	2.92	0	0	2.08	0	0	0	0	0	0	0	0	1.52	0	0	2.35	0	0	6.55	0	0	0	0	0.83	0	0	0	0	0.5	0	0	0	5.89	26.29	0	0	1.36	0	0	0	0	0	4.63	0	4.42	0	2.43	0	0	0	0	0	0	18.73	0	0	12.81	0	0	0	0	1.71	0	0	0	0	13.94	0	0	0	0	0	0	0.52	5.58	1.89	16.02	21.68	0	5.83	3.11	0	0	0.77	32.67	0	1.53	0	0	0	0	0	0	3.03	0	4.49	18.96	1.92	0	0	0	0	0.79	0
ENSG00000285582	0	1.61	5.57	0	2.72	5.86	0	0	0	0	0	0	3.11	0	0	8.98	0	1.3	0	9.11	13.62	0.07	0	10.47	5.84	1.57	2.31	5.33	11.84	0	5.25	3.89	2.58	1.05	0	2.73	2.24	6.13	0	0	0	0	1.98	0	0	0	9.16	0	6.94	0	1.17	0	0.84	0	0	0	0	0	0	0	0	0	0	0	0	0	8.21	0	0	0	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88	4.48	0	5.38	4.13	57.05	0	0	0	0	0	0	0	0	0	5.12	1.8	5.27	0	0	0	0	0	0	0.35	0	0	0.77	0	0	0	0
ENSG00000285872	0	9.82	0	18.38	0	22.1	18.32	0	0	0	17.92	0	0	72.65	11.4	0	0	0	0	13.07	46.85	0	0	0	0	0	22.1	28.58	81.39	30.42	37.84	20.6	51.12	0	0	0	0	0	0	0	0	4.7	0	1.39	0	0	44.44	0	0	0	0	7.34	0	0	0	0	0	0	0	0	11.68	0	0	36.71	0	0	0	0	18.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.69	12.08	0	0	4.55	0	0	0	0	0	0	0	0	0	0	0	5.41	0	0	8.37	0	0	0	0	10.67	0	0	0	0	0	0	0	0
ENSG00000285941	32.99	0	17.06	5.61	23.89	3.66	30.75	9.03	0	19.05	33.46	11.8	30.21	0	0	0	19.85	25.22	0	0	0	0	0	0	0	0	16.85	24.02	182.28	23.85	0	36.09	15	0	0	8.51	0	0	2.17	0	6.8	8.61	2.38	0	0	0	0	12.95	0	10.62	6.13	0	0	0	6.09	0	0	0	0	0.28	0.35	3.6	0	0	0	0	0	8.51	0	0	0	0	0	26.9	0	15.56	0	0	0	0	0	21.75	0	0	0	0	0	16.86	8.49	22.99	0	2.08	0	0	10.71	0	0	0	7.85	0.55	0	5.45	0	6.4	12.14	8.89	4.88	11.38	6.35	8.09	0	0	0	0	0	0	0	0	0
ENSG00000286145	17.64	0	0	0	0	0	7.79	16	32.09	4.04	0	0	14.71	0	0	0	0	0	0	0	0	26.82	0	0	0	0	0	26.9	43.3	60.91	0	0	36.27	1.85	11.49	0	0	11.01	0	12.16	4.78	19.79	0	0	17.65	0	0	63.28	13.05	96.39	0	0	0	2.7	23.01	6.51	5.01	5.28	10.17	8.68	5.62	5.45	12.46	0	0	0	0	0	0	0	0	0	0	39.31	0	0	0	30.57	0	0	0	0	0	0	0	8.83	0	0	0	29.68	0	5.91	0	21.36	6.88	0	0	0	0	23.41	0	1.72	12.72	22.73	0	27.87	46.43	17.93	0	20.3	33.94	6.18	43.48	0	17.54	0	0	46.01	0
ENSG00000286288	0	44.83	79	39.08	5.24	76	25.22	0	20.97	0	26.97	0	24.64	55.52	36.75	130.19	0	0	0	27.26	30.06	2.12	0	0	50.02	32.85	14.53	63.9	57.31	105.13	45.16	50.21	9.81	0	0	0	0	18.93	0	0	0	0	0	0	0	0	38.03	15.29	0	0	0	0	42.29	0.93	0	0	0	0	0	0	0	0	0	0	0	0	0	291.72	0	0	0	11.44	64.23	0	0	0	0	0	0	0	0	0	0	0	33.92	0	22.32	9.67	67.46	6.54	8.52	0	16.92	0	0	0	40.11	0	0	0	22.93	0	24.13	1.18	0	0	0	0	0	8.7	8.28	9.27	3.84	2.1	0	3.18	0	41.31	10.64
ENSG00000287207	0	12.41	29.01	0	0	0.73	6.14	0	0	0	0	0	19.76	0	0	23.46	0	0	0	48.23	0	0	0	0	38.36	0	0	0	0	0	0	0	0	0	4.7	0	45.23	0	0	0	0	22.35	9.91	0	0	0	34.19	0	26.38	0	0	0	11.55	18.89	0.2	78.21	81.62	0	30.18	10.22	3.47	0	0	0	0	0	0	17.68	0	971.42	0	0	0	0	0	0	0	0	0	0	0	0	0	13.12	0	0	128.64	23.67	20.88	11.48	4.41	0	0	0	0	0	0	0	6.45	0	26.72	0	11.34	0	15.61	0	0	49.32	0	0	0	3.19	8.11	0	0	23.64	0	0	0
ENSG00000287306	6.15	0	0	0	0	0	0	0	0	0	0	0.68	0	0	0	0	7.27	0	0	0	0	0	83.24	0	0	0	0	0	0	0	0	0	0	7.32	1.66	0	0	0	16.45	35	0	0	0	2.21	0	0	0	0	0	0	0	92.23	0	0	0	0	0	0	94.51	0	7.4	2.32	0	0	92.51	0	0	0	0	0	0	0	7.94	0	0	16.24	0	0	3.51	0	0	0	0	0	0	36.76	2.63	0	0	0	0	0	0	0	45.52	1.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.53	0	4.51	77.65	0	0	0	24.25	0
ENSG00000287400	6.36	0	11.28	4.92	0	10.29	0	0.15	5.98	0	0	0	3.39	13.46	0	4.72	9.55	0	2.82	4.95	0	0	2.32	0	0	0	2.5	6.51	6.98	4.32	3.29	0	1.94	2.59	0	0	0	0	0	0	0	0.57	0	20.17	0	50.86	0	3.63	3.12	0	1	8.71	0	0.37	1.93	0.92	0.36	13.36	1.49	0	0	0	0	0	10.73	0	0	0	0	78.01	0	0	2.71	0	0	37.17	5.81	0	0	0	0	2.52	2.15	0	0	0	5.46	1.37	4.75	0.91	0	1.07	0	0	0	0	0	0	0	0	0	0	1.6	0	17.96	2.26	0	0	0	0	0	38.82	0	0	0	0	0	0	0
ENSG00000287516	0	2.45	7.15	3.2	0	17.59	3.58	0	0	55.85	0	2.18	0	8.58	24	5.94	2.06	0	0	9.52	0	4.56	0	0	0	39.98	23.03	0	4.39	0	1.29	0	7.27	0	2.16	0	0	0	0	0	2.14	0.91	0	251.63	5.61	0	0	0	2.1	3.9	6.34	2.45	1.09	0	2.12	0	0	28.02	0	0	0	95.52	0	0	5.82	0	212.52	0	0	0	0	0	0	0	0	0	38.07	0	0	64.08	0	0	0	68.73	0	0	0	0	4.6	0	5.19	2.26	0	0	0	2.3	0	0	0	7.9	0	2.4	5.53	8.49	8.3	0	0	0	34.86	3.44	41.81	0	0	2.07	27.35	0	0	8.35	20.01
ENSG00000287643	0	0	0	5.67	0	0.17	3.07	8.83	0	0	5.42	0	3.05	0	0.46	0	4.66	0	12.8	0	0	0	0	8.1	0	0	0.54	0	0	0	0.77	2.77	2.5	0.37	0	1.48	1.49	0	0.83	3.58	1.34	4.48	0	0.73	5.53	0	0	0	8.68	0	2.07	5.18	6.07	5.3	2.56	8.47	2.91	3.94	0	0	1.16	0.76	4.48	0	0	0	0	0	0	0	27.45	3.43	2.99	0	0	0	0	0	0	0	0	2.54	8.94	5.12	24.97	16.1	11.63	6.96	11.15	5.4	3.24	0	4.67	0	0	1.96	0	1.98	0.92	6	7.66	0	4.01	6.27	2.21	8.12	2.59	5.99	2.77	3.13	0	1.68	9.46	1.01	5.04	11.2	0	0.91	3.43
ENSG00000287737	5.74	5.8	0	0	4.11	3.25	0	3.4	0	1.12	0	36.56	163.83	14.43	0	1.16	0	0	0	0	0	1.82	0	0	0	0	0	4.84	0	0	0	0	2.87	0.62	0.61	0.66	0	0	0	0	9.96	0	0	2.97	20.27	0	0	0.38	0	3.53	18.14	0	5.47	7.88	1.98	10.9	0.54	8.13	1.11	0	0.94	1.55	12.68	0	0	0	0	0	0	0	0	0	0	0	0	0	4.68	0	0	0	0	17.33	0	0	0	0	0	7.02	2.58	1.68	0	0	0	6.04	0	8.26	0	0	7.23	19.19	0	14.7	2.52	4.2	0	0	2.23	24.68	35.38	0	22.47	4.53	9.15	0	14.01	0	15.92	1.56	8.75
ENSG00000288001	0	0	10.84	7.77	9.89	6.95	19.46	16.42	0	11.36	22.87	0	9.63	18.65	2.88	19.71	0.98	0	0	0	0	4.09	0	2.01	0	23.25	1	4.42	0	6.19	1.18	2.72	0	0	0	0	2.06	0	1.44	2.37	0	0	0	0	3.48	0	0	5.39	13.55	4.85	0	3.41	1.91	6.14	0	10.22	2.8	1.04	0	0	0	1.42	0	0	0	24	0	29.73	9.33	6.97	5.08	0	4.53	0	0	0	0	0	0	0	0	0	0	0	0	0	2.97	4.72	17.15	1.54	9.25	0	13.85	0	0.85	0	0	0	0	0.57	19.97	9	6.67	11.42	13.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000288028	16.53	8.57	20.59	70.37	0	8	7.56	0	77.95	0	0	38.97	28.62	0	0	25.33	0	0	27.14	0	46.2	10.87	29.5	0	0	0	426.75	226.84	332.6	570.1	451.34	318.15	141.47	3.49	0	8.87	23.96	0	2.91	13.06	0	67.18	11.31	0	32.92	3.78	9.29	0	13.5	7.14	66.28	35.74	11.72	37.84	15.16	54.22	0	0	58.14	34.04	14.27	7.47	8.47	0	1.38	54.49	23.49	136.06	0	45.37	0	0	18.13	34.3	0	0	0	0	0	0	0	22.03	50.82	46.19	0	0	7.4	32.05	26.51	17.09	19.77	26.73	50.06	0	0	8.1	0	0	0	22.03	0	26.25	22.06	0	29.7	47.57	18.19	23.55	0	26	53.7	31.35	29.32	0	14.41	0	0	5.75	0
ENSG00000288093	13.76	0	0	0	0	22.57	10.39	0	8.27	14.52	19.21	4.58	11.89	22.16	0	0	17.32	0	0	8.04	53.09	2.99	10.07	3.85	3.4	7.59	2.18	1.55	7.41	0	0	3.33	0	1.56	3.98	0	0	0	0	0	0	0	0	0.84	0	2.1	5.29	8.2	17.12	0	8.35	7.32	7.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.66	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73	10.77	32.4	0	10.54	1.41	4.9	0	7.89	6.27	0	1.96	4.23	0	12.22	0	2.43	0	13.18	0	0	0	0	0	3.14	4.37	0	6.75	0	0	0	2	4.41
ENSG00000288585	12.48	9.66	3.02	10.35	13.62	15.28	5.76	15.87	0	8.06	17.53	5.57	6.12	36.42	10.75	10.12	7.21	0	22.46	5.81	0	13.51	7.27	13.28	17.48	19.13	9.52	11.72	8.24	8.39	2.75	8.33	12.78	0	0	0	0	0	0	3.21	0	0	0	0	0	0	11.8	10.96	7.98	0	5.49	3.77	15.02	10.57	5.29	10.49	1.38	0	6.5	0	1.56	2.58	4.34	7.36	0	21.09	4.48	0	7.59	0	13.97	9.02	0	0	0	0	0	0	2.35	0	0	0	0	0	11.81	0	14.05	0.98	21.99	11.57	7.68	7.2	8.23	0	0	2.5	9.18	0	0	0	0	6.63	15.3	9.49	4.67	11.54	0	0.85	0	0	0	0	2.2	0	2.3	0	0	0	2.99
ENSG00000288716	1144.52	0	0	0	0	215.27	0	0	226.13	40.68	0	0	0	0	0	0	0	0	0	0	0	779.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376.11	124.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116.14	0	0	169.22	411.31	0	0	0	0	10097.23	0	0	0	0	0	0	0	0	0	1007.44	0	0	0	138.56	0	0	0	0	0	0	0	0	0	109.93	0	229.75	0	0	261.06	0	0	156.59	0	0	0	0	0	203.52	198.52	351.39	0	0	178.4	129.07	136.37	0	334.84	0	172.13	0	121.08
ENSG00000288765	39.8	13.8	45.01	59.73	33.36	72.13	0	5.8	38.91	0	0	78.85	3.63	0	0	61.02	36.63	0	36.82	12.78	85.71	24.54	0	0	37.45	59.57	613.04	271.23	365.64	224.66	107.48	307.38	287.63	5.26	55.24	0	82.19	13.26	0	65.97	57.22	2.34	0	2.92	7.54	0	30.79	98.14	38.95	174.25	115.16	45.52	103.84	31.05	60.45	15.22	4.39	14	13.96	0	14.76	36.68	54.66	0	0	0	0	0	0	0	0	10.43	33.62	134.49	150.91	0	0	0	0	0	0	0	40.88	0	20.84	168.73	49.72	66.14	94.98	121.24	30.77	47.94	32.6	200.24	76.21	78.33	43.53	0	108.63	109.18	55.18	21.44	36.78	37.39	53.03	134.33	50.35	70.57	170.41	37.96	90.8	0	76.12	0	67.75	35.41	0	6.45	56.74
ENSG00000289182	0	52.1	0	0	13.04	0	27.39	20.29	120.43	25.6	0	143.22	124	0	0	0	397.73	42.31	0	0	0	72	16.57	102.16	0	0	715.32	442.18	574.23	644.43	209.12	882.16	531.73	19.25	13.22	0	27.03	0	27.64	0	66.18	141	3.02	0	76.25	3.94	2.96	20.38	0	91.61	286.2	27.81	0	22.8	16.15	0	0	0	0	96.9	0	10.68	0	0	0	19.31	0	0	30.26	0	0	0	0	88.73	95.4	13.26	23.58	0	0	0	10.79	140.33	29.12	0	16.84	15.51	7.81	86.94	18.42	68.48	0	17.7	17.57	29.01	60.19	0	12.37	0	381.31	117.83	0	37.3	0	2.79	33.54	10.9	127.26	157.83	156.17	86.45	446.21	20.88	120.58	36.74	14.65	16.78	87.24	8.01	58.85
ENSG00000290758	0	0	14.99	0	0	0	5.95	0	0	0	0	3.39	0	0	0	0	8.14	0	0	0	0	0	0	43.65	0	0	0	0	0	0	0	0	0	0	5.13	0	23.88	0	17.68	5.58	12.21	0	0	0	0	0	0	7.63	0	5.48	5.35	2.67	0	107.07	0	0	0	1.82	0	0	0	11.88	0	34.69	10.96	0	0	42.2	82.11	0	0	12.25	0	0	0	0	33.56	0	0	0	24.22	13.23	0	0	0	0	1.06	3.61	2.06	27.13	0	0	0	4.99	0	0	15.56	0	5.92	0	0	0	0	20.58	0	0	41.51	0	21.54	10.12	117.87	11.96	10.44	0	0	0	0	66.76	21.55
ENSG00000290821	2.72	1.86	0.18	0	0	0	0	0	4.79	4.62	0	7.92	2.73	0.22	0	0	0	0	0	0	0	0	0	0	0	0	662.27	606.33	539.59	726.71	467.99	607.34	392.32	0.26	9.46	0	0	2	0	3.99	0.49	8.24	1.07	17.79	21.66	2.35	20.11	0	0	3.62	20.76	4.48	4.15	0.56	3.13	17.08	0	4.62	0	3.53	2.25	3.66	0	0	0	0	4.26	11.8	10.37	0	0	0	0	0	0	0	0	0	0	0	0	5.37	21	0	0	8.22	0	13.17	3.09	1.29	0.15	3.73	0	13.4	16.07	22.68	1.22	0	15.17	12.04	3.37	8.58	4.93	0.58	9.3	0	38.77	8.77	32.21	14.44	3.78	7.39	24.64	8.99	0	3.97	0	0	10.03
ENSG00000290854	0	98.12	0	0	0	0	0	0	42.48	0	0	153.19	0	39.01	285.83	28.4	0	0	0	0	0	0	0	0	89.12	0	0	0	33.12	0	0	0	0	173.03	731.64	11.29	43.08	53.66	5022.57	54.17	285.07	0.22	0	31.03	7.7	0	0	0.59	9.28	5.9	20.46	0	4.78	0	0	0	0	0	0	17.96	0	0	59.09	381.17	0	0	90.55	0	0	0	0	0	0	0	0	0	29.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.38	0	50.22	8.59	4.42	36.5	0	0	0	0	11.84	0	44.34	203.47	0	0	10.01	8.08	0	9.03	0	174.3	196061.43	117.88	155.53
ENSG00000291015	24.01	0	0	0	14.56	0	0	10.23	0	0	0	0	0	0.1	0	0	0	0	547.02	0	0	20.18	0	0	0	0	0	0	0	0	0	0	0	35.15	0	10.74	0	0	0	0	0	16.19	70.04	15.73	0	0	0	0	67.48	0	4.12	0	0	0	0	0	3.66	29.83	0	0	12.73	154.25	14.96	0	18.22	93.84	41.62	73.06	0	0	0	0	0	0	0	0	63.42	0	4.44	507.59	0	11.44	0	0	0	0	0	4.66	11.15	22.31	0	0	30.1	40.85	0	3.73	32.16	3.68	0	0	0	0	7.67	0	0	0	21.51	0	34.13	0	0	18.69	27.64	122.2	0	0	24.09	0	10.02
ENSG00000291046	0	0	0	2.57	0	10.01	15.83	0	12.08	0	25.43	0	2.73	15.33	0	0	14.68	0	0	0	48.45	0	0	35.14	0	11.02	13.08	0	34.22	10.93	7.62	0	2.93	0	5.28	8.78	31.15	1.83	22.86	7.36	0	0	0	0	0	0	0	7.44	8.17	44.01	7.6	0	19.04	0	3.58	7.25	1.01	0.26	0	2.01	0.81	1.52	0.37	0	0	0	0	0	47.99	40.95	0	0	0	0	0	0	0.98	0	0	4.08	40.64	0	0	16.07	0	0	2.25	0	1.6	2.98	15.96	0	0	0	0	0	6.97	0	0	3.05	14.4	0	9.1	2.2	9.44	77.48	0	0	0	0	10.47	4.01	0	0	5.85	30.6	0	0.98	40.98
ENSG00000291063	260.74	7.56	0	0	0	0	16.5	0	58.84	5.05	0	0	0	0	0	0	0	0	0	0	0	0	0	19.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.61	0	7.27	0	0	0	15.22	0	0	16.61	46.57	12	1.19	14.72	46.65	0	34.43	0	3.63	425.29	214.48	22.81	6.93	1.7	11.02	0	1113.59	0	0	0	0	215.76	436.05	0	0	0	0	0	149.99	0	0	0	125.37	111.38	0	0	0	0	0	0	0	0	0	0	0	0	24.45	0	21.1	0	48.15	9.16	0	10.89	0	6.98	0	4.84	5.95	26.43	77.89	42.35	0	0	0	102.7	0	102.02	3091.06	14.1	0
ENSG00000291073	29.81	0	0	0	0	0	0	0	0	14.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	680.74	10.45	15.38	40.48	761.03	633.08	2082.82	46	12.4	36.59	0	0	0	24.78	0	0	0	0	44.82	0	0	0	0	0	39.81	0	893.26	603.14	91.7	35.02	0	0	0	50.62	0	0	0	44.48	0	516.92	0	0	0	294.55	0	4.01	15.04	0	159.52	280.56	27.45	0	0	0	0	0	74.39	28.38	604.89	3.83	113.05	485.87	0	0	0	23.65	39.12	0	0	0	0.9	0	0	24.5	209.77	0	0	41.18	207.4	14.45	0	37.67	76.59	4.54	10.8	380.58
ENSG00000291202	40.13	0	0	0	0	2.47	0	0	0	0	95.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.54	0	0	0	0	6.03	10.59	0	0	0	0	60.87	229.67	11.33	0	0	0	0	0	0	0	0	0	0.29	0	0.53	0	0	0	0	0	0	0	53.79	50.76	0	0	144.05	0	0	0	0	0	0	0	0	45.48	22.45	0	5.11	0	0	0	0	0	0	0	0	0	5.16	18.39	0	0	0	0	0	0	20.19	0	0	0	0	0	28.32	0	0	0	0	1.83	6.05	0	0	0	1.1	12.54	0	2.99	1.95	34.49	8.08	0	16.63
ENSG00000291259	0	0	0	0	0	14.61	0	0	0	0	0	0	0	52.28	476.53	0	0	0	50.52	0	0	0	0	0	0	0	2.05	0	0	0	130.07	0	10.72	796.47	697.06	4.69	32.91	224.48	362.77	124.15	5	9.6	0	47.37	2.3	0.03	0	0	155.05	0	0	51.7	1.46	21.6	40.8	158.44	85.03	0	0	22.41	14.48	243.99	12.08	266.44	263.06	0	0	0	0	0	0	0	0	0	0	0	506.68	0	8.74	493.52	0	156.77	24.31	688.75	0	0	0	0	5.79	32.41	2.8	239.75	29.74	0	231.2	0	62.61	0	0	0	0	0	0	0	19.93	0	8.11	15.58	0	70.74	0	239.4	0	2.51	142.07	105.15	0	40.26	6.25
ENTPD1-AS1	4.36	0	1.72	0	0	0	0	5.46	0	0.72	0	0	35.8	0	0	0	1.51	0	0	0	0	0.76	0	0	9	0	2.18	0	0	0	0	0	0	17.52	1.87	0	0	6.66	70.59	0	1.35	0	104.61	19.8	3.61	0	4.33	0	1.5	0	0.56	54.68	2.78	0	0	0	0	2.83	11.16	40.92	25.1	9.58	0	0	0	0	0	0	0	0	0	3.07	7.51	9.9	72.03	240.26	0	0	0	0	95.14	40.78	56.02	7.31	0	0	7.61	0	3.15	5.32	7.88	6.39	7.09	2.16	47.31	0	0	0	0	0	0	0	0	1.3	4.78	0	0	0	0	10.8	11.52	0	11.63	5.57	21.47	140.46	32.55	0	2.94
